run_id, epoch_idx, optimizer_name, batch_size, lr, ta, tl, va, vl
mlp_1x512_bs32_adam_lr0_0005,33,adam,32,0.0005,0.7615,0.7109,0.8873,0.4018
mlp_1x512_bs32_adam_lr0_0005,34,adam,32,0.0005,0.7587,0.7228,0.8813,0.4152
mlp_1x512_bs32_adam_lr0_0005,35,adam,32,0.0005,0.7674,0.7236,0.8993,0.4094
mlp_1x512_bs32_adam_lr0_0005,36,adam,32,0.0005,0.7642,0.7136,0.884,0.4032
mlp_1x512_bs32_adam_lr0_0005,37,adam,32,0.0005,0.7658,0.707,0.8867,0.3982
mlp_1x512_bs32_adam_lr0_0005,38,adam,32,0.0005,0.7713,0.6997,0.8833,0.3981
mlp_1x512_bs32_adam_lr0_0005,39,adam,32,0.0005,0.7661,0.7052,0.8927,0.3854
mlp_1x512_bs32_adam_lr0_0005,40,adam,32,0.0005,0.7657,0.7109,0.888,0.3833
mlp_1x512_bs32_sgd_lr0_0005,1,sgd,32,0.0005,0.2763,2.2736,0.4713,1.8073
mlp_1x512_bs32_sgd_lr0_0005,2,sgd,32,0.0005,0.4021,1.9184,0.55,1.5792
mlp_1x512_bs32_sgd_lr0_0005,3,sgd,32,0.0005,0.4541,1.7769,0.586,1.4288
mlp_1x512_bs32_sgd_lr0_0005,4,sgd,32,0.0005,0.4898,1.6563,0.6293,1.3197
mlp_1x512_bs32_sgd_lr0_0005,5,sgd,32,0.0005,0.5211,1.5549,0.6693,1.2151
mlp_1x512_bs32_sgd_lr0_0005,6,sgd,32,0.0005,0.5413,1.4879,0.6867,1.1321
mlp_1x512_bs32_sgd_lr0_0005,7,sgd,32,0.0005,0.5662,1.4055,0.7133,1.0596
mlp_1x512_bs32_sgd_lr0_0005,8,sgd,32,0.0005,0.5819,1.3617,0.732,1.0151
mlp_1x512_bs32_sgd_lr0_0005,9,sgd,32,0.0005,0.6006,1.3054,0.7593,0.9496
mlp_1x512_bs32_sgd_lr0_0005,10,sgd,32,0.0005,0.6048,1.2727,0.7593,0.9163
mlp_1x512_bs32_sgd_lr0_0005,11,sgd,32,0.0005,0.6232,1.2153,0.7787,0.8624
mlp_1x512_bs32_sgd_lr0_0005,12,sgd,32,0.0005,0.6354,1.1779,0.7813,0.8413
mlp_1x512_bs32_sgd_lr0_0005,13,sgd,32,0.0005,0.6382,1.1585,0.7807,0.8113
mlp_1x512_bs32_sgd_lr0_0005,14,sgd,32,0.0005,0.6458,1.1305,0.8027,0.7728
mlp_1x512_bs32_sgd_lr0_0005,15,sgd,32,0.0005,0.6478,1.1221,0.8053,0.7595
mlp_1x512_bs32_sgd_lr0_0005,16,sgd,32,0.0005,0.6593,1.0988,0.8067,0.7413
mlp_1x512_bs32_sgd_lr0_0005,17,sgd,32,0.0005,0.6721,1.0572,0.8,0.7335
mlp_1x512_bs32_sgd_lr0_0005,18,sgd,32,0.0005,0.6713,1.0416,0.8147,0.6901
mlp_1x512_bs32_sgd_lr0_0005,19,sgd,32,0.0005,0.669,1.0426,0.828,0.6774
mlp_1x512_bs32_sgd_lr0_0005,20,sgd,32,0.0005,0.6807,1.0149,0.8167,0.6609
mlp_1x512_bs32_sgd_lr0_0005,21,sgd,32,0.0005,0.6775,1.0045,0.83,0.6424
mlp_1x512_bs32_sgd_lr0_0005,22,sgd,32,0.0005,0.6859,0.9801,0.83,0.6332
mlp_1x512_bs32_sgd_lr0_0005,23,sgd,32,0.0005,0.6893,0.9774,0.836,0.6184
mlp_1x512_bs32_sgd_lr0_0005,24,sgd,32,0.0005,0.6923,0.9658,0.8367,0.6105
mlp_1x512_bs32_sgd_lr0_0005,25,sgd,32,0.0005,0.7007,0.9482,0.842,0.6003
mlp_1x512_bs32_sgd_lr0_0005,26,sgd,32,0.0005,0.693,0.9564,0.8447,0.5887
mlp_1x512_bs32_sgd_lr0_0005,27,sgd,32,0.0005,0.6993,0.9371,0.8447,0.5897
mlp_1x512_bs32_sgd_lr0_0005,28,sgd,32,0.0005,0.7057,0.9174,0.8613,0.5632
mlp_1x512_bs32_sgd_lr0_0005,29,sgd,32,0.0005,0.7085,0.9124,0.854,0.5736
mlp_1x512_bs32_sgd_lr0_0005,30,sgd,32,0.0005,0.7111,0.9017,0.8567,0.5601
mlp_1x512_bs32_sgd_lr0_0005,31,sgd,32,0.0005,0.7102,0.8988,0.862,0.5457
mlp_1x512_bs32_sgd_lr0_0005,32,sgd,32,0.0005,0.7151,0.8835,0.8533,0.545
mlp_1x512_bs32_sgd_lr0_0005,33,sgd,32,0.0005,0.7173,0.8776,0.8533,0.5322
mlp_1x512_bs32_sgd_lr0_0005,34,sgd,32,0.0005,0.723,0.8712,0.8587,0.52
mlp_1x512_bs32_sgd_lr0_0005,35,sgd,32,0.0005,0.7243,0.8595,0.868,0.5107
mlp_1x512_bs32_sgd_lr0_0005,36,sgd,32,0.0005,0.7272,0.856,0.862,0.5167
mlp_1x512_bs32_sgd_lr0_0005,37,sgd,32,0.0005,0.7288,0.8392,0.8647,0.5129
mlp_1x512_bs32_sgd_lr0_0005,38,sgd,32,0.0005,0.7258,0.8435,0.8633,0.5033
mlp_1x512_bs32_sgd_lr0_0005,39,sgd,32,0.0005,0.7273,0.846,0.862,0.5061
mlp_1x512_bs32_sgd_lr0_0005,40,sgd,32,0.0005,0.7294,0.8342,0.87,0.503
mlp_1x512_bs32_sgd_lr0_0005,41,sgd,32,0.0005,0.7332,0.8206,0.872,0.4821
mlp_1x512_bs32_sgd_lr0_0005,42,sgd,32,0.0005,0.7369,0.8195,0.87,0.4859
mlp_1x512_bs32_sgd_lr0_0005,43,sgd,32,0.0005,0.7306,0.8243,0.874,0.4805
mlp_1x512_bs32_sgd_lr0_0005,44,sgd,32,0.0005,0.7356,0.8229,0.8693,0.4884
mlp_1x512_bs32_sgd_lr0_0005,45,sgd,32,0.0005,0.7396,0.8048,0.8693,0.4807
mlp_1x512_bs32_sgd_lr0_0005,46,sgd,32,0.0005,0.7368,0.8089,0.8707,0.4721
mlp_1x512_bs32_sgd_lr0_0005,47,sgd,32,0.0005,0.7373,0.805,0.878,0.4567
mlp_1x512_bs32_sgd_lr0_0005,48,sgd,32,0.0005,0.7421,0.805,0.882,0.4592
